,Image,Accuracy,F1,Jaccard,Recall,Precision
369,100091_1-030,1.0,1.0,1.0,1.0,1.0
370,100091_1-039,0.9968185424804688,0.0,0.0,1.0,0.0
371,100091_1-041,0.9929771423339844,0.0,0.0,1.0,0.0
372,100091_1-046,0.9886016845703125,0.8691310441485633,0.7685515104570101,0.9801442260199545,0.7807065858840192
373,100091_1-064,0.9909439086914062,0.9485322811429562,0.9021030927835052,0.96442269541066,0.9331570191528388
374,100091_1-071,0.9822196960449219,0.9108607929009926,0.8363125548726954,0.9589658921596264,0.8673513986013986
375,100091_1-073,0.9762840270996094,0.8929819427469747,0.8066552635670968,0.8667669172932331,0.9208321499573985
376,100091_1-074,0.9825706481933594,0.9183012963790791,0.8489436968955599,0.9113106434325868,0.9254000288309068
377,100091_1-083,0.9857292175292969,0.9371566799375094,0.8817449027975344,0.9889735862435738,0.8904992976631337
378,100091_1-086,0.98309326171875,0.9280706310049338,0.8657945736434108,0.9594952850766805,0.898639092309143
379,100091_1-087,0.9839324951171875,0.93285081146574,0.8741522005437868,0.9441701358634266,0.9217996786288163
380,100091_1-099,0.9507064819335938,0.0,0.0,1.0,0.0
381,100091_1-101,0.9400062561035156,0.0,0.0,1.0,0.0
382,100091_1-102,0.9481849670410156,0.0,0.0,1.0,0.0
383,100091_1-106,0.9695053100585938,0.0,0.0,1.0,0.0
384,100091_1-107,0.9753646850585938,0.0,0.0,1.0,0.0
385,100091_1-109,0.9962120056152344,0.0,0.0,1.0,0.0
386,100091_1-111,0.9954071044921875,0.0,0.0,1.0,0.0
387,100091_1-121,0.9990348815917969,0.0,0.0,1.0,0.0
388,100091_1-124,0.9869232177734375,0.0,0.0,1.0,0.0
389,100091_1-131,0.987030029296875,0.0,0.0,1.0,0.0
390,100092_1-007,0.9920730590820312,0.0,0.0,1.0,0.0
391,100092_1-014,0.9954376220703125,0.0,0.0,1.0,0.0
392,100092_1-015,0.9961700439453125,0.0,0.0,1.0,0.0
393,100092_1-016,0.9986724853515625,0.0,0.0,1.0,0.0
394,100092_1-028,0.9592552185058594,0.0,0.0,1.0,0.0
395,100092_1-039,0.9868965148925781,0.9263839180471914,0.8628633024592782,0.8837865467184625,0.973295505719175
396,100092_1-044,0.9834976196289062,0.9223785258020527,0.855939258716574,0.9479954265481504,0.8981096474370174
397,100092_1-047,0.9842567443847656,0.926668917358162,0.8633579445750422,0.9179427605871792,0.9355625717566016
398,100092_1-048,0.9836311340332031,0.9219094069045842,0.8551316677920324,0.9304264776108437,0.9135468513308808
399,100092_1-058,0.9886322021484375,0.9480510424656579,0.901232931194485,0.9994486712978278,0.9016812017110455
400,100092_1-060,0.9889755249023438,0.9460418222554144,0.8976085031000886,0.9958334971109626,0.9009922116718233
401,100092_1-070,0.9906730651855469,0.934756504336224,0.8775050100200401,0.9683750760214519,0.9033938518671343
402,100092_1-071,0.9946441650390625,0.9620622568093385,0.9268978444236177,0.9821793103448276,0.9427527405602923
403,100092_1-073,0.9934463500976562,0.9512734698508141,0.9070748593682388,0.9908419497784343,0.914743904434626
404,100092_1-081,0.9921607971191406,0.9198924102444158,0.8516673884798615,0.9820224719101124,0.865156181258249
405,100092_1-082,0.9930534362792969,0.9264866174155263,0.8630415162454874,1.0,0.8630415162454874
406,100092_1-083,0.9949302673339844,0.9440491727360755,0.8940275895064189,0.9935312361541869,0.8992621110041706
407,100092_1-091,0.9966239929199219,0.0,0.0,1.0,0.0
408,100092_1-092,0.9999198913574219,0.0,0.0,1.0,0.0
409,100092_1-093,1.0,1.0,1.0,1.0,1.0
410,100092_1-099,1.0,1.0,1.0,1.0,1.0
411,100092_1-101,1.0,1.0,1.0,1.0,1.0
412,100092_1-105,1.0,1.0,1.0,1.0,1.0
413,100092_1-107,1.0,1.0,1.0,1.0,1.0
414,100092_1-113,1.0,1.0,1.0,1.0,1.0
415,100092_1-116,1.0,1.0,1.0,1.0,1.0
416,100092_1-117,1.0,1.0,1.0,1.0,1.0
417,100092_1-125,1.0,1.0,1.0,1.0,1.0
418,100092_1-127,1.0,1.0,1.0,1.0,1.0
419,100092_1-132,1.0,1.0,1.0,1.0,1.0
420,100092_1-133,0.9995384216308594,0.0,0.0,1.0,0.0
421,100093_1-002,1.0,1.0,1.0,1.0,1.0
422,100093_1-006,1.0,1.0,1.0,1.0,1.0
423,100093_1-007,1.0,1.0,1.0,1.0,1.0
424,100093_1-027,1.0,1.0,1.0,1.0,1.0
425,100093_1-040,1.0,1.0,1.0,1.0,1.0
426,100093_1-046,1.0,1.0,1.0,1.0,1.0
427,100093_1-051,0.9968490600585938,0.0,0.0,1.0,0.0
428,100093_1-054,0.9901275634765625,0.0,0.0,1.0,0.0
429,100093_1-056,0.9780998229980469,0.0,0.0,1.0,0.0
430,100093_1-061,0.9910125732421875,0.9085829582492627,0.8324800910125142,0.999061353357795,0.8331317156479043
431,100093_1-062,0.9975090026855469,0.9779235268264648,0.9568007409367557,0.9864947820748926,0.9694999329668856
432,100093_1-064,0.9946937561035156,0.9531002393877069,0.910402576489533,0.9870801033591732,0.9213820078226858
433,100093_1-071,0.9918975830078125,0.942270058708415,0.8908418131359852,0.9695173108115667,0.9165124517527626
434,100093_1-073,0.9864387512207031,0.9008229878644163,0.8195431472081218,1.0,0.8195431472081218
435,100093_1-086,0.98577880859375,0.9275018474582862,0.8648050770625567,0.9964899084868999,0.8674475282819832
436,100093_1-089,0.98321533203125,0.9231387345840758,0.8572494565746358,0.9711838864997978,0.8796231565631346
437,100093_1-098,0.9914627075195312,0.9665890361877463,0.9353384762069862,0.9816246702447011,0.9520070577856198
438,100093_1-099,0.9897689819335938,0.9600143125503176,0.9231033889557887,0.986548184464532,0.9348703504747524
439,100093_1-101,0.9854087829589844,0.9415271726668195,0.8895147313691508,0.9988323440692809,0.890440666204025
440,100093_1-104,0.9841537475585938,0.9353281853281853,0.8785131459655485,0.972356197196776,0.9010168271393864
441,100093_1-106,0.9870643615722656,0.9465470767193682,0.8985186293580727,0.9881841819438502,0.9082768635043562
442,100093_1-107,0.9911270141601562,0.963151891515113,0.9289228418640183,0.985988128831371,0.9413495184714954
443,100093_1-110,0.9865989685058594,0.9376608166379784,0.8826378912905489,0.9660316647775056,0.910908840159978
444,100093_1-112,0.9871330261230469,0.9379746602673729,0.8831942376285625,0.975109921621105,0.903564089846241
445,100093_1-114,0.9679679870605469,0.8256328259650725,0.7030448774622484,0.7677750743444174,0.8929213079410708
446,100093_1-124,0.9618072509765625,0.0,0.0,1.0,0.0
447,100093_1-137,0.9999961853027344,0.0,0.0,1.0,0.0
