epoch,dice_coefficient,iou,learning_rate,loss,precision,recall,val_dice_coefficient,val_iou,val_loss,val_precision,val_recall
0,0.43776389956474304,0.3648211658000946,9.999999747378752e-05,0.5622358322143555,0.4262327551841736,0.8145285248756409,0.31114304065704346,0.2569521963596344,0.6888570785522461,0.4602278172969818,0.8998638987541199
1,0.5160792469978333,0.46044859290122986,9.999999747378752e-05,0.48392096161842346,0.5672682523727417,0.868691623210907,0.2696603834629059,0.2083558440208435,0.730339527130127,0.18375632166862488,0.9539898633956909
2,0.5308536887168884,0.48039454221725464,9.999999747378752e-05,0.4691464602947235,0.6099387407302856,0.8850682973861694,0.36117079854011536,0.32173240184783936,0.6388292908668518,0.6865651607513428,0.942660927772522
3,0.5410717725753784,0.4949146509170532,9.999999747378752e-05,0.45892801880836487,0.6450303196907043,0.9005646705627441,0.3586157560348511,0.31703370809555054,0.6413842439651489,0.5027918219566345,0.9043565988540649
4,0.5451193451881409,0.5007907748222351,9.999999747378752e-05,0.454880952835083,0.6744277477264404,0.9057866930961609,0.38116544485092163,0.34857121109962463,0.6188347935676575,0.8503847122192383,0.9335176348686218
5,0.550407886505127,0.5084243416786194,9.999999747378752e-05,0.4495919942855835,0.6965214014053345,0.9121552109718323,0.33798524737358093,0.2916867136955261,0.6620144844055176,0.27183017134666443,0.9677572846412659
6,0.5537816286087036,0.5134106874465942,9.999999747378752e-05,0.446218341588974,0.7271279692649841,0.9183258414268494,0.3443189263343811,0.29955267906188965,0.6556809544563293,0.30654850602149963,0.9157900214195251
7,0.5562474727630615,0.5172430276870728,9.999999747378752e-05,0.4437521994113922,0.741224467754364,0.9207334518432617,0.38429898023605347,0.3544890880584717,0.6157013177871704,0.8612797856330872,0.9349836111068726
8,0.5576947927474976,0.5193505883216858,9.999999747378752e-05,0.4423057734966278,0.7499608993530273,0.923346221446991,0.32274362444877625,0.2675083875656128,0.6772562861442566,0.8355157971382141,0.6652130484580994
9,0.5613018870353699,0.5247754454612732,9.999999747378752e-05,0.43869835138320923,0.7518622875213623,0.9268590807914734,0.36988604068756104,0.3363913297653198,0.6301140189170837,0.820439875125885,0.8957860469818115
